File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,12,11,11,0,4,60.87892298127269,6,15,21,14,28,42,21,184.47733175670794,5.6,1033.0730578375644,0.06149244391890265,57.392947657642466
115.py,11,8,8,0,3,67.88739391861246,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
128.py,7,5,5,0,6,71.44887953991449,6,8,14,6,10,16,14,60.91767875292166,3.75,228.44129532345622,0.020305892917640553,12.691183073525345
43.py,8,7,7,0,3,73.70567794030467,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,21,13,13,0,6,61.752756760489454,4,8,12,7,14,21,12,75.28421251514429,3.5,263.494743803005,0.025094737505048096,14.638596877944723
84.py,3,4,3,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60.py,2,2,2,0,1,83.27641167936048,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
22.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,12,12,12,0,4,64.978140907935,3,7,10,4,7,11,10,36.541209043760986,1.5,54.81181356564148,0.012180403014586996,3.0451007536467487
12.py,6,4,4,0,2,84.48986316429594,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
111.py,14,12,11,0,5,65.59629429341688,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
112.py,3,4,3,0,3,76.79891896611021,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
79.py,3,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31.py,13,11,11,0,6,62.74629018315213,5,9,14,8,16,24,14,91.37651812938249,4.444444444444445,406.1178583528111,0.03045883937646083,22.56210324182284
7.py,3,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,4,4,4,0,4,72.57820511649285,6,10,16,8,15,23,16,92.0,4.5,414.0,0.030666666666666665,23.0
65.py,10,6,5,2,1,100.0,3,4,7,4,6,10,7,28.07354922057604,2.25,63.16548574629609,0.009357849740192013,3.509193652572005
69.py,13,9,9,0,4,66.84685459352403,4,7,11,5,9,14,11,48.43204266092217,2.5714285714285716,124.53953827094274,0.016144014220307392,6.918863237274596
141.py,19,13,13,0,8,61.72742918372938,6,11,17,6,11,17,17,69.48686830125578,3.0,208.46060490376735,0.023162289433751926,11.581144716875963
44.py,11,9,9,0,3,66.89489175386416,5,5,10,5,10,15,10,49.82892142331044,5.0,249.1446071165522,0.016609640474436815,13.841367062030677
107.py,12,10,10,0,4,64.47266270254313,4,10,14,7,13,20,14,76.14709844115208,2.6,197.98245594699543,0.025382366147050694,10.999025330388635
81.py,17,5,17,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
103.py,8,6,6,0,2,69.58106919670047,6,8,14,7,13,20,14,76.14709844115208,4.875,371.2171049006164,0.025382366147050694,20.623172494478688
28.py,5,3,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73.py,2,2,2,0,3,81.69927410397862,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
3.py,6,4,3,0,2,78.2610438027938,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
