File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
79.py,3,4,3,0,1,79.1757408017311,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
110.py,8,7,7,0,6,68.74891939259918,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
119.py,18,14,14,0,7,61.78120543676673,4,9,13,6,10,16,13,59.207035490257475,2.2222222222222223,131.57118997834996,0.019735678496752493,7.309510554352776
84.py,2,3,2,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30.py,2,3,2,0,1,84.71624627594792,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
135.py,10,8,8,0,4,68.6972229335356,4,5,9,5,7,12,9,38.03910001730775,2.8,106.5094800484617,0.012679700005769252,5.91719333602565
76.py,7,7,7,0,4,68.1180719338176,4,6,10,7,14,21,10,69.76048999263462,4.666666666666667,325.5489532989616,0.02325349666421154,18.086052961053422
115.py,3,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
157.py,2,2,2,0,3,76.64879489497538,4,18,22,16,33,49,22,218.51214931322758,3.6666666666666665,801.2112141485011,0.0728373831044092,44.51173411936117
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21.py,9,7,7,0,3,69.04403793394626,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
149.py,4,4,4,0,3,78.1265408788172,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
36.py,6,6,6,0,4,69.63245789928568,4,10,14,6,12,18,14,68.53238859703687,2.4,164.4777326328885,0.022844129532345624,9.13765181293825
137.py,7,6,6,0,5,74.79648071322099,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
150.py,7,7,7,0,4,68.81312627594012,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
67.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
1.py,19,15,15,0,5,64.4289764779358,1,4,5,3,6,9,5,20.89735285398626,0.75,15.673014640489694,0.0069657842846620865,0.8707230355827608
82.py,7,7,7,0,4,68.64803339719332,5,10,15,5,10,15,15,58.60335893412778,2.5,146.50839733531944,0.019534452978042596,8.139355407517748
98.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
