module,type,obj,line,column,endLine,endColumn,path,symbol,message,message-id
147,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/147.py,missing-module-docstring,Missing module docstring,C0114
147,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/147.py,invalid-name,"Module name ""147"" doesn't conform to snake_case naming style",C0103
147,convention,get_max_triples,2,0,2.0,19.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/147.py,missing-function-docstring,Missing function or method docstring,C0116
115,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/115.py,missing-module-docstring,Missing module docstring,C0114
115,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/115.py,invalid-name,"Module name ""115"" doesn't conform to snake_case naming style",C0103
115,convention,max_fill,1,0,1.0,12.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/115.py,missing-function-docstring,Missing function or method docstring,C0116
128,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/128.py,missing-module-docstring,Missing module docstring,C0114
128,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/128.py,invalid-name,"Module name ""128"" doesn't conform to snake_case naming style",C0103
128,convention,prod_signs,1,0,1.0,14.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/128.py,missing-function-docstring,Missing function or method docstring,C0116
43,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/43.py,missing-module-docstring,Missing module docstring,C0114
43,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/43.py,invalid-name,"Module name ""43"" doesn't conform to snake_case naming style",C0103
43,convention,pairs_sum_to_zero,2,0,2.0,21.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/43.py,missing-function-docstring,Missing function or method docstring,C0116
82,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/82.py,missing-module-docstring,Missing module docstring,C0114
82,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/82.py,invalid-name,"Module name ""82"" doesn't conform to snake_case naming style",C0103
82,convention,prime_length,5,0,5.0,16.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/82.py,missing-function-docstring,Missing function or method docstring,C0116
84,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/84.py,missing-module-docstring,Missing module docstring,C0114
84,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/84.py,invalid-name,"Module name ""84"" doesn't conform to snake_case naming style",C0103
84,convention,solve,1,0,1.0,9.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/84.py,missing-function-docstring,Missing function or method docstring,C0116
84,convention,solve,1,10,1.0,11.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/84.py,invalid-name,"Argument name ""N"" doesn't conform to snake_case naming style",C0103
60,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/60.py,missing-module-docstring,Missing module docstring,C0114
60,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/60.py,invalid-name,"Module name ""60"" doesn't conform to snake_case naming style",C0103
60,convention,sum_to_n,1,0,1.0,12.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/60.py,missing-function-docstring,Missing function or method docstring,C0116
22,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,missing-module-docstring,Missing module docstring,C0114
22,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,invalid-name,"Module name ""22"" doesn't conform to snake_case naming style",C0103
22,convention,filter_integers,1,0,1.0,19.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,missing-function-docstring,Missing function or method docstring,C0116
22,error,filter_integers,1,28,1.0,32.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'List',E0602
22,error,filter_integers,1,33,1.0,36.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'Any',E0602
22,error,filter_integers,1,42,1.0,46.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'List',E0602
23,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/23.py,missing-module-docstring,Missing module docstring,C0114
23,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/23.py,invalid-name,"Module name ""23"" doesn't conform to snake_case naming style",C0103
23,convention,strlen,1,0,1.0,10.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/23.py,missing-function-docstring,Missing function or method docstring,C0116
40,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/40.py,missing-module-docstring,Missing module docstring,C0114
40,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/40.py,invalid-name,"Module name ""40"" doesn't conform to snake_case naming style",C0103
40,convention,triples_sum_to_zero,1,0,1.0,23.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/40.py,missing-function-docstring,Missing function or method docstring,C0116
40,convention,triples_sum_to_zero,3,4,11.0,26.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/40.py,consider-using-enumerate,Consider using enumerate instead of iterating with range and len,C0200
12,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/12.py,missing-module-docstring,Missing module docstring,C0114
12,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/12.py,invalid-name,"Module name ""12"" doesn't conform to snake_case naming style",C0103
12,convention,longest,2,0,2.0,11.0,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/12.py,missing-function-docstring,Missing function or method docstring,C0116
111,convention,,1,0,,,sample_data/GPT_3.5_Turbo_Improved_Prompt/Dataset/111.py,missing-module-docstring,Missing module docstring,C0114
