File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,11,11,11,0,5,59.646430108941146,5,20,25,19,38,57,25,264.6998028171593,4.75,1257.3240633815067,0.08823326760571977,69.85133685452814
115.py,5,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
128.py,15,13,13,0,5,61.095560637097385,6,9,15,9,16,25,15,97.67226489021297,5.333333333333333,520.9187460811359,0.03255742163007099,28.93993033784088
43.py,8,7,7,0,3,73.70567794030467,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,11,9,9,0,5,66.43225274485785,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
84.py,5,5,4,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60.py,3,2,2,1,1,100.0,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
22.py,3,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,7,7,7,0,5,68.88342231657579,2,9,11,5,10,15,11,51.89147427955947,1.1111111111111112,57.65719364395497,0.01729715809318649,3.203177424664165
12.py,9,6,6,0,2,80.64861477169227,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
111.py,13,11,11,0,5,66.42061260173968,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
112.py,7,7,6,0,3,70.3613561036311,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
79.py,3,4,3,0,1,79.1757408017311,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
31.py,7,7,7,0,4,68.81312627594012,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
7.py,3,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,6,6,6,0,4,69.7277951924218,6,9,15,6,11,17,15,66.41714012534482,3.6666666666666665,243.52951379293097,0.02213904670844827,13.52941743294061
65.py,9,9,8,1,2,87.16247368928869,4,5,9,5,8,13,9,41.20902501875006,3.2,131.8688800600002,0.013736341672916687,7.326048892222234
69.py,15,13,13,0,7,61.50511997442715,6,9,15,7,13,20,15,78.13781191217038,4.333333333333333,338.5971849527383,0.026045937304056792,18.810954719596573
141.py,21,15,15,0,11,58.2965638506292,5,17,22,10,17,27,22,120.40465370320703,2.5,301.0116342580176,0.04013488456773568,16.722868569889865
44.py,11,9,9,0,3,68.08525442469237,4,3,7,4,8,12,7,33.68825906469125,5.333333333333333,179.67071501168667,0.011229419688230418,9.981706389538148
107.py,15,13,12,0,4,61.90862874635699,4,11,15,7,13,20,15,78.13781191217038,2.3636363636363638,184.68937361058454,0.026045937304056792,10.260520756143585
81.py,28,28,28,0,13,51.98502173442635,2,12,14,11,22,33,14,125.64271242790092,1.8333333333333333,230.344972784485,0.04188090414263364,12.796942932471389
103.py,6,5,5,0,2,72.09394973757158,5,6,11,6,11,17,11,58.81033751683406,4.583333333333333,269.54738028548945,0.019603445838944685,14.97485446030497
28.py,3,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73.py,7,7,7,0,3,69.04403793394626,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
3.py,11,8,8,0,3,71.88621556846499,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
59.py,8,8,8,0,3,68.15316067222922,5,4,9,5,10,15,9,47.548875021634686,6.25,297.1804688852168,0.01584962500721156,16.51002604917871
136.py,15,12,12,0,7,67.96081736522618,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
140.py,23,20,20,0,8,55.33716734437675,3,11,14,13,26,39,14,148.48684196024655,3.5454545454545454,526.4533487681468,0.04949561398674885,29.247408264897047
146.py,10,8,8,0,4,66.31004054989037,5,13,18,7,13,20,18,83.39850002884624,2.5,208.4962500721156,0.027799500009615414,11.583125004006423
57.py,4,4,4,0,4,72.92646622416613,5,10,15,7,14,21,15,82.0447025077789,3.5,287.15645877722613,0.02734823416925963,15.953136598734785
94.py,23,19,19,0,6,56.775719629628405,8,13,21,9,18,27,21,118.59257041502654,5.538461538461538,656.8203899909162,0.03953085680500885,36.49002166616201
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123.py,12,10,10,0,5,63.70525388614926,6,9,15,8,16,24,15,93.76537429460444,5.333333333333333,500.08199623789034,0.03125512476486815,27.78233312432724
11.py,6,5,5,0,3,76.012549340051,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
85.py,2,2,2,0,3,84.69319837885878,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
64.py,13,10,10,0,5,64.03969247924633,5,11,16,7,14,21,16,84.0,3.1818181818181817,267.27272727272725,0.028,14.848484848484848
91.py,7,7,7,0,3,71.3409506322362,1,6,7,3,6,9,7,25.26619429851844,0.5,12.63309714925922,0.008422064766172813,0.701838730514401
8.py,13,10,10,0,3,70.32665215562193,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
98.py,7,7,7,0,3,72.82491762469213,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
113.py,7,6,7,0,3,74.28529248621352,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
155.py,4,4,4,0,5,75.12937750960057,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
158.py,14,11,11,0,5,64.39665902176611,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
139.py,8,6,6,0,2,74.41979541019013,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
156.py,17,14,15,0,6,59.348414390627504,7,14,21,10,20,30,21,131.76952268336282,5.0,658.847613416814,0.04392317422778761,36.602645189823
86.py,10,7,7,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124.py,29,23,23,0,15,51.142741383314444,7,25,32,19,37,56,32,280.0,5.18,1450.3999999999999,0.09333333333333334,80.57777777777777
70.py,17,15,15,0,4,61.54037511739056,5,5,10,6,11,17,10,56.472777613085164,5.5,310.6002768719684,0.01882425920436172,17.255570937331576
105.py,9,8,8,0,4,71.2829503432593,2,3,5,3,4,7,5,16.253496664211536,1.3333333333333333,21.67132888561538,0.005417832221403845,1.2039627158675212
137.py,13,11,11,0,6,65.41128700130152,2,7,9,4,8,12,9,38.03910001730775,1.1428571428571428,43.47325716263743,0.012679700005769252,2.415180953479857
133.py,9,6,6,0,2,74.41979541019013,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
110.py,10,10,10,0,6,66.31422554681617,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
77.py,2,2,2,0,1,82.2340467055486,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
14.py,4,4,3,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
97.py,2,2,2,0,1,83.47823723435607,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
131.py,7,6,6,0,4,71.15686528735678,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
55.py,8,8,8,0,3,70.3268900675695,2,4,6,3,6,9,6,23.264662506490403,1.5,34.89699375973561,0.007754887502163467,1.938721875540867
49.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
121.py,2,2,2,0,4,82.70536061008033,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
48.py,2,3,2,0,1,82.00171614982087,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
9.py,14,8,8,0,3,72.44064369438814,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
54.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
160.py,15,14,14,0,7,57.850386136309034,6,18,24,15,30,45,24,206.32331253245206,5.0,1031.6165626622603,0.06877443751081735,57.31203125901446
27.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
159.py,6,6,6,0,2,72.93582841773419,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
37.py,5,4,5,0,5,75.2969198069509,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
92.py,5,5,5,0,7,69.68787903101313,4,12,16,8,18,26,16,104.0,3.0,312.0,0.034666666666666665,17.333333333333332
72.py,2,3,2,0,2,78.25712463555394,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
33.py,11,8,8,0,6,68.28578745238308,4,6,10,4,8,12,10,39.863137138648355,2.6666666666666665,106.3016990363956,0.013287712379549451,5.905649946466422
19.py,21,8,17,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100.py,11,10,10,0,3,65.8967395002637,4,6,10,5,10,15,10,49.82892142331044,3.3333333333333335,166.09640474436813,0.016609640474436815,9.227578041353786
126.py,5,5,5,0,2,79.7423427057672,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
52.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
50.py,2,2,2,0,2,81.83377702795524,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
119.py,12,11,11,0,5,65.71333222262844,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
108.py,8,7,7,0,4,72.69041470071554,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
163.py,3,2,2,0,3,82.83986353405693,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
38.py,6,6,6,0,4,68.55502039697015,5,10,15,9,16,25,15,97.67226489021297,4.0,390.6890595608519,0.03255742163007099,21.70494775338066
5.py,10,7,7,1,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
142.py,11,10,10,0,4,63.344188698491486,4,13,17,9,18,27,17,110.36149671375918,2.769230769230769,305.6164524381023,0.03678716557125306,16.978691802116796
4.py,7,4,4,0,2,76.57525125534227,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
58.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
93.py,25,22,22,0,8,55.08196210124483,4,12,16,10,20,30,16,120.0,3.3333333333333335,400.0,0.04,22.22222222222222
29.py,3,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127.py,17,12,12,0,5,61.84059955542197,7,10,17,8,16,24,17,98.09910819000817,5.6,549.3550058640457,0.03269970273000272,30.519722548002537
104.py,8,7,7,0,3,71.49729571198515,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
99.py,6,6,6,0,2,73.18680209898402,3,3,6,3,6,9,6,23.264662506490403,3.0,69.79398751947122,0.007754887502163467,3.877443751081734
68.py,10,7,7,0,4,71.36279278800855,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
135.py,7,6,6,0,3,72.19109881749841,3,4,7,4,7,11,7,30.880904142633646,2.625,81.06237337441333,0.010293634714211216,4.503465187467407
71.py,14,8,8,3,4,91.01650328447238,7,19,26,17,34,51,26,239.7224256251957,6.2631578947368425,1501.41940259991,0.07990747520839857,83.41218903332833
89.py,9,9,9,0,3,65.92571243065862,3,11,14,6,12,18,14,68.53238859703687,1.6363636363636365,112.14390861333307,0.022844129532345624,6.23021714518517
20.py,14,11,11,0,3,64.99380095474905,3,7,10,5,10,15,10,49.82892142331044,2.142857142857143,106.77626019280808,0.016609640474436815,5.932014455156004
87.py,11,9,8,0,4,71.19030148524578,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
25.py,14,11,11,0,3,64.99380095474905,5,5,10,5,10,15,10,49.82892142331044,5.0,249.1446071165522,0.016609640474436815,13.841367062030677
117.py,7,6,6,0,4,72.29745471743507,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
148.py,14,10,11,0,4,66.44080176157009,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
62.py,5,5,5,0,2,79.7423427057672,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
134.py,8,7,7,0,5,67.95910234729355,5,10,15,7,11,18,15,70.32403072095333,2.75,193.39108448262166,0.02344134357365111,10.743949137923426
42.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
138.py,15,13,13,3,6,85.12101985329737,7,10,17,9,18,27,17,110.36149671375918,6.3,695.2774292966828,0.03678716557125306,38.62652384981571
24.py,5,5,5,0,3,73.54898781898997,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
144.py,7,4,4,0,1,78.39554672677042,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
120.py,2,3,2,0,1,87.34977519571046,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
114.py,9,9,9,0,3,71.3248044092224,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
0.py,10,7,7,0,4,70.83707985591369,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
17.py,13,6,9,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32.py,28,22,22,0,1,55.6494311644413,6,17,23,10,20,30,23,135.7068586817104,3.5294117647058822,478.9653835825073,0.04523561956057014,26.60918797680596
101.py,5,5,5,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
41.py,2,2,2,0,1,85.28853641650139,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
35.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90.py,8,6,6,0,2,78.01508585192973,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
18.py,10,8,8,0,5,65.94644394822802,5,12,17,8,14,22,17,89.92418250750748,2.9166666666666665,262.2788656468968,0.029974727502502494,14.571048091494267
116.py,3,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36.py,6,6,6,0,5,68.23764225249928,6,14,20,8,16,24,20,103.72627427729671,3.4285714285714284,355.63294037930297,0.0345754247590989,19.757385576627943
47.py,9,8,8,0,2,67.09757687330685,6,9,15,6,12,18,15,70.32403072095333,4.0,281.2961228838133,0.02344134357365111,15.627562382434073
16.py,3,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63.py,13,12,12,0,5,63.3460486725499,2,8,10,6,12,18,10,59.794705707972525,1.5,89.69205856195879,0.019931568569324175,4.9828921423310435
26.py,3,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
150.py,13,12,12,0,2,63.97584948537313,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
13.py,4,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
161.py,13,14,13,0,6,62.88318910636819,3,6,9,5,8,13,9,41.20902501875006,2.0,82.41805003750012,0.013736341672916687,4.578780557638896
109.py,13,11,10,0,4,65.68029284925473,4,5,9,5,7,12,9,38.03910001730775,2.8,106.5094800484617,0.012679700005769252,5.91719333602565
151.py,3,2,2,0,5,79.66296815958566,6,9,15,6,13,19,15,74.23092131656186,4.333333333333333,321.6673257051014,0.024743640438853954,17.870406983616746
130.py,12,13,12,0,5,59.68489196648676,5,12,17,13,25,38,17,155.3235879675129,5.208333333333333,808.9770206641297,0.0517745293225043,44.94316781467387
67.py,7,7,7,0,3,76.42020806643173,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
45.py,2,2,2,0,1,85.28853641650139,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
88.py,3,2,2,0,1,83.63458231410502,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
152.py,2,2,2,0,3,84.69319837885878,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
15.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
125.py,9,9,9,0,6,65.9981540181578,5,10,15,5,10,15,15,58.60335893412778,2.5,146.50839733531944,0.019534452978042596,8.139355407517748
78.py,9,7,7,0,3,72.82491762469213,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
145.py,5,5,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
157.py,7,7,7,0,2,69.28693108850561,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
6.py,16,11,11,0,7,63.901361132919476,4,6,10,6,12,18,10,59.794705707972525,4.0,239.1788228318901,0.019931568569324175,13.28771237954945
1.py,17,12,12,0,4,65.47631607452767,2,4,6,4,8,12,6,31.019550008653873,2.0,62.039100017307746,0.010339850002884624,3.446616667628208
46.py,15,13,13,0,6,61.250287651227445,2,11,13,8,16,24,13,88.81055323538621,1.4545454545454546,129.17898652419814,0.029603517745128736,7.1766103624554525
