module,type,obj,line,column,endLine,endColumn,path,symbol,message,message-id
144,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/144.py,missing-module-docstring,Missing module docstring,C0114
144,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/144.py,invalid-name,"Module name ""144"" doesn't conform to snake_case naming style",C0103
144,convention,simplify,1,0,1.0,12.0,sample_data/GPT_3.5_Simple/Data/144.py,missing-function-docstring,Missing function or method docstring,C0116
74,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/74.py,missing-module-docstring,Missing module docstring,C0114
74,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/74.py,invalid-name,"Module name ""74"" doesn't conform to snake_case naming style",C0103
74,convention,total_match,1,0,1.0,15.0,sample_data/GPT_3.5_Simple/Data/74.py,missing-function-docstring,Missing function or method docstring,C0116
74,refactor,total_match,5,4,10.0,19.0,sample_data/GPT_3.5_Simple/Data/74.py,no-else-return,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif""",R1705
80,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/80.py,missing-module-docstring,Missing module docstring,C0114
80,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/80.py,invalid-name,"Module name ""80"" doesn't conform to snake_case naming style",C0103
80,convention,is_happy,1,0,1.0,12.0,sample_data/GPT_3.5_Simple/Data/80.py,missing-function-docstring,Missing function or method docstring,C0116
49,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/49.py,missing-module-docstring,Missing module docstring,C0114
49,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/49.py,invalid-name,"Module name ""49"" doesn't conform to snake_case naming style",C0103
49,convention,modp,1,0,1.0,8.0,sample_data/GPT_3.5_Simple/Data/49.py,missing-function-docstring,Missing function or method docstring,C0116
85,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/85.py,missing-module-docstring,Missing module docstring,C0114
85,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/85.py,invalid-name,"Module name ""85"" doesn't conform to snake_case naming style",C0103
85,convention,add,1,0,1.0,7.0,sample_data/GPT_3.5_Simple/Data/85.py,missing-function-docstring,Missing function or method docstring,C0116
11,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/11.py,missing-module-docstring,Missing module docstring,C0114
11,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/11.py,invalid-name,"Module name ""11"" doesn't conform to snake_case naming style",C0103
11,convention,string_xor,4,0,4.0,14.0,sample_data/GPT_3.5_Simple/Data/11.py,missing-function-docstring,Missing function or method docstring,C0116
11,convention,string_xor,6,4,10.0,25.0,sample_data/GPT_3.5_Simple/Data/11.py,consider-using-enumerate,Consider using enumerate instead of iterating with range and len,C0200
11,warning,,1,0,1.0,23.0,sample_data/GPT_3.5_Simple/Data/11.py,unused-import,Unused List imported from typing,W0611
103,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/103.py,missing-module-docstring,Missing module docstring,C0114
103,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/103.py,invalid-name,"Module name ""103"" doesn't conform to snake_case naming style",C0103
103,convention,rounded_avg,1,0,1.0,15.0,sample_data/GPT_3.5_Simple/Data/103.py,missing-function-docstring,Missing function or method docstring,C0116
103,warning,rounded_avg,6,4,6.0,15.0,sample_data/GPT_3.5_Simple/Data/103.py,redefined-outer-name,Redefining name 'rounded_avg' from outer scope (line 1),W0621
131,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/131.py,missing-module-docstring,Missing module docstring,C0114
131,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/131.py,invalid-name,"Module name ""131"" doesn't conform to snake_case naming style",C0103
131,convention,digits,1,0,1.0,10.0,sample_data/GPT_3.5_Simple/Data/131.py,missing-function-docstring,Missing function or method docstring,C0116
148,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/148.py,missing-module-docstring,Missing module docstring,C0114
148,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/148.py,invalid-name,"Module name ""148"" doesn't conform to snake_case naming style",C0103
148,convention,bf,1,0,1.0,6.0,sample_data/GPT_3.5_Simple/Data/148.py,missing-function-docstring,Missing function or method docstring,C0116
118,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/118.py,missing-module-docstring,Missing module docstring,C0114
118,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/118.py,invalid-name,"Module name ""118"" doesn't conform to snake_case naming style",C0103
118,convention,get_closest_vowel,1,0,1.0,21.0,sample_data/GPT_3.5_Simple/Data/118.py,missing-function-docstring,Missing function or method docstring,C0116
149,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/149.py,missing-module-docstring,Missing module docstring,C0114
149,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/149.py,invalid-name,"Module name ""149"" doesn't conform to snake_case naming style",C0103
149,convention,sorted_list_sum,1,0,1.0,19.0,sample_data/GPT_3.5_Simple/Data/149.py,missing-function-docstring,Missing function or method docstring,C0116
112,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/112.py,missing-module-docstring,Missing module docstring,C0114
112,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/112.py,invalid-name,"Module name ""112"" doesn't conform to snake_case naming style",C0103
112,convention,reverse_delete,1,0,1.0,18.0,sample_data/GPT_3.5_Simple/Data/112.py,missing-function-docstring,Missing function or method docstring,C0116
111,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/111.py,missing-module-docstring,Missing module docstring,C0114
111,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/111.py,invalid-name,"Module name ""111"" doesn't conform to snake_case naming style",C0103
111,convention,histogram,1,0,1.0,13.0,sample_data/GPT_3.5_Simple/Data/111.py,missing-function-docstring,Missing function or method docstring,C0116
105,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/105.py,missing-module-docstring,Missing module docstring,C0114
105,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/105.py,invalid-name,"Module name ""105"" doesn't conform to snake_case naming style",C0103
105,convention,by_length,1,0,1.0,13.0,sample_data/GPT_3.5_Simple/Data/105.py,missing-function-docstring,Missing function or method docstring,C0116
156,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/156.py,missing-module-docstring,Missing module docstring,C0114
156,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/156.py,invalid-name,"Module name ""156"" doesn't conform to snake_case naming style",C0103
156,convention,int_to_mini_roman,1,0,1.0,21.0,sample_data/GPT_3.5_Simple/Data/156.py,missing-function-docstring,Missing function or method docstring,C0116
125,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/125.py,missing-module-docstring,Missing module docstring,C0114
125,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/125.py,invalid-name,"Module name ""125"" doesn't conform to snake_case naming style",C0103
125,convention,split_words,2,0,2.0,15.0,sample_data/GPT_3.5_Simple/Data/125.py,missing-function-docstring,Missing function or method docstring,C0116
125,refactor,split_words,3,4,8.0,69.0,sample_data/GPT_3.5_Simple/Data/125.py,no-else-return,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif""",R1705
68,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/68.py,missing-module-docstring,Missing module docstring,C0114
68,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/68.py,invalid-name,"Module name ""68"" doesn't conform to snake_case naming style",C0103
68,convention,pluck,1,0,1.0,9.0,sample_data/GPT_3.5_Simple/Data/68.py,missing-function-docstring,Missing function or method docstring,C0116
153,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/153.py,missing-module-docstring,Missing module docstring,C0114
153,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/153.py,invalid-name,"Module name ""153"" doesn't conform to snake_case naming style",C0103
153,convention,Strongest_Extension,1,0,1.0,23.0,sample_data/GPT_3.5_Simple/Data/153.py,missing-function-docstring,Missing function or method docstring,C0116
153,convention,Strongest_Extension,1,0,1.0,23.0,sample_data/GPT_3.5_Simple/Data/153.py,invalid-name,"Function name ""Strongest_Extension"" doesn't conform to snake_case naming style",C0103
153,convention,Strongest_Extension,6,8,6.0,11.0,sample_data/GPT_3.5_Simple/Data/153.py,invalid-name,"Variable name ""CAP"" doesn't conform to snake_case naming style",C0103
153,convention,Strongest_Extension,7,8,7.0,10.0,sample_data/GPT_3.5_Simple/Data/153.py,invalid-name,"Variable name ""SM"" doesn't conform to snake_case naming style",C0103
92,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/92.py,missing-module-docstring,Missing module docstring,C0114
92,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/92.py,invalid-name,"Module name ""92"" doesn't conform to snake_case naming style",C0103
92,convention,any_int,1,0,1.0,11.0,sample_data/GPT_3.5_Simple/Data/92.py,missing-function-docstring,Missing function or method docstring,C0116
92,refactor,any_int,3,8,6.0,24.0,sample_data/GPT_3.5_Simple/Data/92.py,simplifiable-if-statement,The if statement can be replaced with 'return bool(test)',R1703
92,refactor,any_int,3,8,6.0,24.0,sample_data/GPT_3.5_Simple/Data/92.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
143,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/143.py,missing-module-docstring,Missing module docstring,C0114
143,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/143.py,invalid-name,"Module name ""143"" doesn't conform to snake_case naming style",C0103
143,convention,words_in_sentence,1,0,1.0,21.0,sample_data/GPT_3.5_Simple/Data/143.py,missing-function-docstring,Missing function or method docstring,C0116
138,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/138.py,missing-module-docstring,Missing module docstring,C0114
138,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/138.py,invalid-name,"Module name ""138"" doesn't conform to snake_case naming style",C0103
138,convention,is_equal_to_sum_even,1,0,1.0,24.0,sample_data/GPT_3.5_Simple/Data/138.py,missing-function-docstring,Missing function or method docstring,C0116
138,refactor,is_equal_to_sum_even,2,4,7.0,20.0,sample_data/GPT_3.5_Simple/Data/138.py,no-else-return,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif""",R1705
107,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/107.py,missing-module-docstring,Missing module docstring,C0114
107,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/107.py,invalid-name,"Module name ""107"" doesn't conform to snake_case naming style",C0103
107,convention,even_odd_palindrome,1,0,1.0,23.0,sample_data/GPT_3.5_Simple/Data/107.py,missing-function-docstring,Missing function or method docstring,C0116
45,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/45.py,missing-module-docstring,Missing module docstring,C0114
45,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/45.py,invalid-name,"Module name ""45"" doesn't conform to snake_case naming style",C0103
45,convention,triangle_area,1,0,1.0,17.0,sample_data/GPT_3.5_Simple/Data/45.py,missing-function-docstring,Missing function or method docstring,C0116
146,convention,,1,0,,,sample_data/GPT_3.5_Simple/Data/146.py,missing-module-docstring,Missing module docstring,C0114
