File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
79.py,3,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
110.py,9,7,7,0,6,68.87225651301661,3,7,10,5,10,15,10,49.82892142331044,2.142857142857143,106.77626019280808,0.016609640474436815,5.932014455156004
119.py,13,12,11,0,8,63.068983184364434,4,8,12,6,10,16,12,57.359400011538504,2.5,143.39850002884626,0.01911980000384617,7.966583334935903
84.py,3,5,3,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
135.py,10,8,8,0,4,68.01865774825264,4,5,9,6,9,15,9,47.548875021634686,3.6,171.17595007788486,0.01584962500721156,9.509775004326936
76.py,24,24,24,0,13,52.6852592567446,4,8,12,15,30,45,12,161.32331253245204,7.5,1209.9248439933904,0.05377443751081735,67.21804688852168
115.py,16,12,12,0,2,64.98255075568584,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
157.py,5,5,5,0,4,67.790223209728,4,19,23,16,33,49,23,221.65453584679364,3.473684210526316,769.9578613625464,0.07388484528226455,42.77543674236369
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21.py,11,8,8,1,3,87.33449260608448,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
149.py,11,9,8,0,1,70.71304994156309,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
36.py,7,7,7,0,5,67.35294256917463,5,12,17,7,14,21,17,85.83671966625714,2.9166666666666665,250.3570990265833,0.02861223988875238,13.908727723699073
137.py,12,11,11,0,5,69.0541415215022,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
150.py,13,12,12,0,2,63.97584948537313,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
67.py,5,4,4,0,1,78.7218789164598,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
1.py,19,16,16,0,5,60.62063956511197,3,7,10,6,12,18,10,59.794705707972525,2.5714285714285716,153.75781467764364,0.019931568569324175,8.542100815424646
82.py,16,15,15,0,2,57.71402509103257,6,17,23,16,32,48,23,217.13097389073664,5.647058823529412,1226.1513819712188,0.07237699129691222,68.11952122062327
98.py,7,7,7,0,3,72.82491762469213,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
142.py,8,8,8,0,4,65.88212656675668,4,12,16,8,16,24,16,96.0,2.6666666666666665,256.0,0.032,14.222222222222221
83.py,3,3,3,0,1,75.21953131142146,4,12,16,9,18,27,16,108.0,3.0,324.0,0.036,18.0
43.py,7,7,7,0,3,73.70567794030467,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
16.py,5,5,5,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
104.py,5,4,4,0,3,76.79891896611021,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
81.py,28,28,28,0,13,51.98502173442635,2,12,14,11,22,33,14,125.64271242790092,1.8333333333333333,230.344972784485,0.04188090414263364,12.796942932471389
129.py,38,31,31,0,6,48.83172523433812,7,24,31,25,46,71,31,351.7479380374682,6.708333333333333,2359.6424176680157,0.11724931267915607,131.09124542600088
22.py,6,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63.py,12,12,12,0,5,63.3460486725499,2,8,10,6,12,18,10,59.794705707972525,1.5,89.69205856195879,0.019931568569324175,4.9828921423310435
118.py,8,6,6,0,3,72.95767057350653,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
126.py,12,9,9,2,4,94.54063798794357,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
86.py,10,8,8,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
121.py,2,2,2,0,4,80.77781576413629,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
35.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
17.py,6,7,6,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15.py,2,2,2,0,3,84.69319837885878,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
40.py,7,7,7,0,5,68.88342231657579,2,9,11,5,10,15,11,51.89147427955947,1.1111111111111112,57.65719364395497,0.01729715809318649,3.203177424664165
27.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
41.py,2,2,2,0,1,85.28853641650139,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
93.py,15,13,13,0,4,64.09767520507738,2,7,9,4,8,12,9,38.03910001730775,1.1428571428571428,43.47325716263743,0.012679700005769252,2.415180953479857
7.py,6,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
131.py,6,6,6,0,3,72.43195764141169,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
160.py,5,5,5,0,2,74.66308527157166,1,6,7,3,6,9,7,25.26619429851844,0.5,12.63309714925922,0.008422064766172813,0.701838730514401
24.py,10,8,8,0,4,69.94141346234306,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
70.py,12,10,10,0,5,72.77217643379578,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
148.py,15,10,11,0,4,66.44080176157009,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
42.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
140.py,21,18,18,0,6,56.462240124671325,5,15,20,12,24,36,20,155.58941141594505,4.0,622.3576456637802,0.05186313713864835,34.5754247590989
97.py,5,5,5,0,1,74.79758819554827,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
102.py,6,6,6,0,4,69.7277951924218,6,9,15,6,11,17,15,66.41714012534482,3.6666666666666665,243.52951379293097,0.02213904670844827,13.52941743294061
18.py,8,8,8,0,5,65.94644394822802,5,12,17,8,14,22,17,89.92418250750748,2.9166666666666665,262.2788656468968,0.029974727502502494,14.571048091494267
5.py,9,7,7,1,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
106.py,18,15,15,0,3,60.93621223582498,4,12,16,6,12,18,16,72.0,2.0,144.0,0.024,8.0
128.py,15,12,12,0,5,62.766882533392945,6,8,14,7,12,19,14,72.33974351909447,4.5,325.5288458359251,0.024113247839698156,18.084935879773617
145.py,5,5,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10.py,23,18,16,1,5,71.73741127173456,6,11,17,12,20,32,17,130.79881092001088,5.454545454545454,713.4480595636957,0.04359960364000363,39.63600330909421
80.py,7,7,7,0,6,65.86448753980045,5,15,20,10,21,31,20,133.97977094150824,3.5,468.9291982952788,0.04465992364716941,26.05162212751549
2.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
50.py,2,2,2,0,2,81.83377702795524,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
162.py,7,5,5,0,2,79.7423427057672,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
96.py,16,13,13,0,7,62.679538453612146,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
61.py,11,10,10,0,5,66.88086676834547,2,6,8,4,7,11,8,33.0,1.1666666666666667,38.5,0.011,2.138888888888889
23.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
29.py,3,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4.py,8,5,5,0,2,74.46125971657607,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
89.py,12,12,12,0,4,60.190428733218006,4,19,23,13,26,39,23,176.41891628622352,2.736842105263158,482.8307182570328,0.05880630542874117,26.823928792057377
48.py,2,3,2,0,1,82.00171614982087,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
161.py,16,15,14,0,5,63.24144393073742,2,5,7,4,7,11,7,30.880904142633646,1.4,43.2332657996871,0.010293634714211216,2.401848099982617
146.py,14,11,11,0,4,63.23675228868196,6,13,19,7,13,20,19,84.9585502688717,3.0,254.8756508066151,0.028319516756290568,14.159758378145284
65.py,8,10,8,0,4,64.24581718535835,6,9,15,8,13,21,15,82.0447025077789,4.333333333333333,355.5270442003752,0.02734823416925963,19.7515024555764
