File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,14,11,11,2,6,83.99438680399199,5,15,20,11,22,33,20,142.62362713128297,3.6666666666666665,522.9532994813709,0.04754120904376099,29.05296108229838
115.py,27,19,19,4,2,87.2962456371915,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
128.py,21,16,16,4,5,84.05209261356313,6,9,15,10,17,27,15,105.48604608143,5.666666666666667,597.7542611281034,0.03516201536047667,33.20857006267241
43.py,23,8,7,0,3,75.60345168368548,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,17,13,13,5,1,91.40618068296047,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
84.py,12,10,9,4,2,95.56906140447468,4,5,9,4,8,12,9,38.03910001730775,3.2,121.72512005538482,0.012679700005769252,6.762506669743601
60.py,19,8,7,6,1,79.28057141841599,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
22.py,12,4,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23.py,8,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,32,13,12,6,5,73.40828607603106,3,11,14,7,12,19,14,72.33974351909447,1.6363636363636365,118.37412575851823,0.024113247839698156,6.57634031991768
12.py,9,6,6,0,5,74.89704695387283,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
111.py,18,14,14,0,6,62.860827077840575,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
112.py,10,8,7,4,3,99.4717377659546,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
79.py,8,6,5,3,1,100.0,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
31.py,23,20,20,8,8,82.43636863151448,6,17,23,16,32,48,23,217.13097389073664,5.647058823529412,1226.1513819712188,0.07237699129691222,68.11952122062327
7.py,5,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,11,8,8,3,4,94.91962491601394,6,9,15,6,11,17,15,66.41714012534482,3.6666666666666665,243.52951379293097,0.02213904670844827,13.52941743294061
65.py,6,8,6,0,2,69.13377107883912,3,5,8,5,7,12,8,36.0,2.1,75.60000000000001,0.012,4.2
69.py,21,15,15,4,6,86.59260682606286,6,7,13,6,11,17,13,62.907475208398566,4.714285714285714,296.5638116967361,0.02096915840279952,16.47576731648534
141.py,16,11,11,0,7,63.76630280388749,5,10,15,6,10,16,15,62.5102495297363,2.5,156.27562382434076,0.020836749843245433,8.681979101352264
44.py,15,10,10,4,2,96.60217164455938,3,3,6,3,6,9,6,23.264662506490403,3.0,69.79398751947122,0.007754887502163467,3.877443751081734
107.py,16,13,12,0,5,61.90862874635699,4,11,15,7,13,20,15,78.13781191217038,2.3636363636363638,184.68937361058454,0.026045937304056792,10.260520756143585
81.py,35,29,29,2,13,66.78985564001722,2,12,14,11,22,33,14,125.64271242790092,1.8333333333333333,230.344972784485,0.04188090414263364,12.796942932471389
103.py,13,9,9,5,2,95.75505247734337,5,6,11,6,11,17,11,58.81033751683406,4.583333333333333,269.54738028548945,0.019603445838944685,14.97485446030497
28.py,6,3,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73.py,14,10,10,4,3,93.91978234104299,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
3.py,16,10,10,3,3,94.82600726968178,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
59.py,13,10,10,3,3,92.54508092084679,5,4,9,5,10,15,9,47.548875021634686,6.25,297.1804688852168,0.01584962500721156,16.51002604917871
136.py,14,9,9,4,7,96.264066890538,3,4,7,4,8,12,7,33.68825906469125,3.0,101.06477719407376,0.011229419688230418,5.614709844115208
140.py,11,8,8,7,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
146.py,19,14,14,3,4,82.44384190433851,9,23,32,14,24,38,32,190.0,4.695652173913044,892.1739130434784,0.06333333333333334,49.56521739130435
57.py,11,7,7,4,4,96.45028246749935,6,11,17,8,15,23,17,94.01164534875782,4.090909090909091,384.59309460855474,0.031337215116252606,21.366283033808596
94.py,18,15,15,0,4,60.1500746909023,7,12,19,7,14,21,19,89.20647778231529,4.083333333333333,364.2597842777874,0.029735492594105097,20.2366546820993
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123.py,20,10,10,6,5,93.18939434174189,6,6,12,8,16,24,12,86.03910001730776,8.0,688.3128001384621,0.028679700005769252,38.23960000769234
11.py,9,8,8,0,3,70.07591638631968,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
85.py,10,7,7,1,3,91.60114355223193,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
64.py,19,13,13,5,5,90.01125050549423,6,11,17,6,12,18,17,73.57433114250613,3.272727272727273,240.78872010274733,0.02452477704750204,13.377151116819297
91.py,17,11,12,3,6,90.19480534053584,4,8,12,4,8,12,12,43.01955000865388,2.0,86.03910001730776,0.014339850002884626,4.779950000961542
8.py,20,10,9,0,3,98.60902421263637,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
98.py,15,10,10,4,3,97.70066203178888,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
113.py,12,8,9,1,4,90.05319959619166,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
155.py,14,11,11,3,3,90.78910767461211,4,8,12,5,9,14,12,50.18947501009619,2.25,112.92631877271643,0.016729825003365395,6.273684376262024
158.py,19,14,14,4,4,93.06233402614706,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
139.py,13,9,9,2,3,92.11452568800708,2,6,8,4,8,12,8,36.0,1.3333333333333333,48.0,0.012,2.6666666666666665
156.py,22,14,16,4,6,85.80945746859028,7,10,17,7,14,21,17,85.83671966625714,4.9,420.59992636466,0.02861223988875238,23.366662575814445
86.py,13,9,9,4,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124.py,50,33,33,13,17,74.01039613531871,8,41,49,33,52,85,49,477.2503367497927,5.073170731707317,2421.1724400965095,0.15908344558326423,134.50958000536164
70.py,14,11,11,4,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
105.py,19,11,10,6,4,96.39809590212832,2,4,6,4,5,9,6,23.264662506490403,1.25,29.080828133113002,0.007754887502163467,1.6156015629507223
137.py,21,18,18,5,8,86.4295677600723,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
133.py,13,10,10,6,2,95.13554806608076,4,9,13,5,9,14,13,51.80615605397529,2.0,103.61231210795059,0.01726871868465843,5.75623956155281
110.py,12,12,12,0,6,62.51105609634401,5,7,12,7,14,21,12,75.28421251514429,5.0,376.42106257572146,0.025094737505048096,20.912281254206746
77.py,28,12,11,7,2,77.12583887906432,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
14.py,11,6,5,2,2,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
97.py,9,6,6,5,1,100.0,2,4,6,4,5,9,6,23.264662506490403,1.25,29.080828133113002,0.007754887502163467,1.6156015629507223
131.py,16,12,12,4,4,91.8035859970402,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
55.py,11,8,8,4,2,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
49.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,7,4,4,3,1,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
