File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,16,4,4,8,1,80.64877334305729,3,10,13,5,10,15,13,55.506595772116384,1.5,83.25989365817458,0.01850219859070546,4.625549647676365
115.py,2,2,2,0,2,84.35893900160629,2,4,6,3,4,7,6,18.094737505048094,1.0,18.094737505048094,0.006031579168349364,1.0052631947248942
128.py,12,9,9,0,6,64.8334992159755,7,8,15,8,14,22,15,85.95159310338741,6.125,526.4535077582478,0.02865053103446247,29.247417097680437
43.py,2,2,2,0,2,85.70846161844791,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,9,9,9,0,4,67.31561689475312,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
84.py,2,2,2,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60.py,2,2,2,0,1,83.27641167936048,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
22.py,5,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
23.py,5,5,5,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,18,16,16,0,7,56.83615327771027,6,17,23,14,28,42,23,189.98960215439456,4.9411764705882355,938.7721518217144,0.06332986738479819,52.15400843453969
12.py,7,5,5,0,2,82.37587162552974,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
111.py,7,6,5,0,3,77.88058292795313,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
112.py,4,5,4,0,3,74.68492742734401,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
79.py,3,3,3,0,1,81.90114990916902,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
31.py,16,14,14,0,9,56.98814018506506,7,18,25,18,36,54,25,250.76823424783512,7.0,1755.3776397348458,0.08358941141594504,97.52097998526921
7.py,5,4,3,0,1,81.99083716851001,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,9,8,8,0,5,65.14068023963249,7,8,15,11,19,30,15,117.20671786825557,8.3125,974.2808422798744,0.03906890595608519,54.12671345999302
65.py,4,5,4,0,1,74.47719364500986,3,4,7,4,6,10,7,28.07354922057604,2.25,63.16548574629609,0.009357849740192013,3.509193652572005
69.py,8,5,6,0,3,76.89330965566353,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
141.py,11,8,8,0,7,66.28766477653397,5,12,17,6,12,18,17,73.57433114250613,2.5,183.93582785626532,0.02452477704750204,10.218657103125851
44.py,6,7,6,0,2,72.08459787220718,3,3,6,3,5,8,6,20.67970000576925,2.5,51.69925001442312,0.006893233335256416,2.87218055635684
107.py,6,7,6,0,7,67.3697019488019,5,10,15,7,13,20,15,78.13781191217038,3.25,253.94788871455373,0.026045937304056792,14.10821603969743
81.py,13,9,12,0,4,73.90483161137286,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
103.py,5,5,5,0,2,69.27359856975622,6,13,19,12,23,35,19,148.67746297052548,5.3076923076923075,789.134226535866,0.04955915432350849,43.840790363103665
28.py,8,5,5,0,2,82.37587162552974,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
73.py,2,3,2,0,2,79.65883099752473,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
3.py,6,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
59.py,26,19,19,0,7,54.59024229205617,7,14,21,18,35,53,21,232.7928234072743,8.75,2036.9372048136502,0.07759760780242476,113.16317804520278
136.py,4,4,4,0,5,78.63772910582466,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
140.py,5,5,5,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
146.py,2,2,2,0,5,80.54690410613014,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.01850219859070546,6.852666144705727
57.py,2,2,2,0,4,79.49312372420772,5,10,15,7,14,21,15,82.0447025077789,3.5,287.15645877722613,0.02734823416925963,15.953136598734785
94.py,15,14,14,0,4,62.24646877589854,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123.py,14,11,11,0,3,64.1112367437962,6,7,13,6,12,18,13,66.60791492653966,5.142857142857143,342.5549910507754,0.022202638308846556,19.03083283615419
11.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
85.py,2,2,2,0,4,81.68810830041947,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
64.py,6,6,6,0,6,68.47661168365433,6,12,18,8,14,22,18,91.73835003173087,3.5,321.08422511105806,0.030579450010576957,17.838012506169893
91.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8.py,7,5,5,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
98.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
113.py,7,2,7,0,6,79.07955911379837,2,10,12,8,16,24,12,86.03910001730776,1.6,137.66256002769242,0.028679700005769252,7.647920001538468
155.py,4,4,4,0,3,76.27320603401535,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
158.py,3,4,3,0,1,84.62436608827255,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
139.py,10,9,9,0,4,65.96502456631227,5,9,14,6,11,17,14,64.72503367497926,3.0555555555555554,197.77093622910328,0.021575011224993085,10.987274234950183
156.py,11,9,10,0,3,68.75825154615833,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
86.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124.py,13,10,10,0,5,65.43147616113191,3,7,10,6,10,16,10,53.1508495181978,2.142857142857143,113.89467753899528,0.017716949839399268,6.327482085499738
70.py,8,8,8,0,3,77.78870274027774,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
105.py,4,4,4,0,3,81.72183132055679,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
137.py,8,6,6,0,3,74.28529248621352,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
133.py,5,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
110.py,4,4,4,0,6,74.99487458562398,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
77.py,5,5,5,0,2,71.98555950698882,5,7,12,6,11,17,12,60.94436251225966,3.9285714285714284,239.42428129816292,0.020314787504086555,13.301348961009051
14.py,5,4,3,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
97.py,2,2,2,0,3,82.13258315494569,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
131.py,5,5,5,0,4,75.8780464160744,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
55.py,5,5,5,0,2,71.24657341209996,3,10,13,7,14,21,13,77.70923408096293,2.1,163.18939157002217,0.025903078026987644,9.066077309445676
49.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
121.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
48.py,2,3,2,0,1,82.00171614982087,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
9.py,6,4,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
54.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
160.py,8,8,8,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
27.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
159.py,5,5,5,0,1,76.60788737769361,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
37.py,4,6,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
92.py,2,3,2,0,2,76.29077302291635,3,8,11,7,14,21,11,72.64806399138325,2.625,190.70116797738103,0.024216021330461083,10.594509332076724
72.py,2,3,2,0,2,78.25712463555394,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
33.py,3,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19.py,10,8,7,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100.py,2,2,2,0,2,80.60078371674912,4,7,11,6,12,18,11,62.26976913547136,3.4285714285714284,213.49635132161606,0.020756589711823786,11.860908406756447
126.py,8,6,6,0,3,74.28529248621352,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
52.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
50.py,2,2,2,0,3,81.69927410397862,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
119.py,10,9,9,0,3,64.96443556050768,5,12,17,8,15,23,17,94.01164534875782,3.125,293.7863917148682,0.031337215116252606,16.32146620638157
108.py,2,2,2,0,5,81.81820137664522,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
163.py,4,4,4,0,4,74.65268849914878,3,7,10,5,9,14,10,46.50699332842308,1.9285714285714286,89.6920585619588,0.01550233110947436,4.982892142331044
38.py,11,7,6,2,4,94.84321584654624,5,10,15,9,16,25,15,97.67226489021297,4.0,390.6890595608519,0.03255742163007099,21.70494775338066
5.py,8,7,6,0,5,71.07194478428298,3,4,7,4,5,9,7,25.26619429851844,1.875,47.374114309722074,0.008422064766172813,2.6318952394290043
142.py,2,2,2,0,4,80.33177786879591,3,8,11,6,12,18,11,62.26976913547136,2.25,140.10698055481055,0.020756589711823786,7.78372114193392
4.py,10,7,7,0,3,70.3613561036311,3,6,9,4,7,11,9,34.86917501586544,1.75,61.021056277764515,0.011623058338621813,3.3900586820980285
58.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
93.py,5,6,5,0,3,77.88058292795313,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
29.py,5,4,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127.py,11,11,10,0,3,62.31089708953107,8,14,22,9,18,27,22,120.40465370320703,5.142857142857143,619.2239333307791,0.04013488456773568,34.401329629487726
104.py,2,2,2,0,4,88.15398589662178,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
99.py,7,7,7,0,4,69.28369199416916,2,7,9,5,10,15,9,47.548875021634686,1.4285714285714286,67.92696431662098,0.01584962500721156,3.7737202398122767
68.py,8,8,8,0,5,66.39225568261267,6,11,17,7,12,19,17,77.66179398375645,3.272727272727273,254.16587121956658,0.02588726466125215,14.12032617886481
135.py,2,2,2,0,3,83.5674020211474,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
71.py,6,6,6,0,4,65.94063557580792,8,20,28,16,32,48,28,230.75303625876498,6.4,1476.819432056096,0.07691767875292166,82.04552400311644
89.py,2,2,2,0,3,81.82261122439607,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
20.py,8,5,6,0,2,76.47338445371699,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
87.py,8,6,6,0,4,75.03154987784946,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
25.py,18,14,14,0,5,60.68271504953723,5,8,13,8,16,24,13,88.81055323538621,5.0,444.0527661769311,0.029603517745128736,24.669598120940616
117.py,3,3,3,0,5,80.58294413830188,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
148.py,9,8,9,0,6,66.72465805614723,4,9,13,6,12,18,13,66.60791492653966,2.6666666666666665,177.62110647077242,0.022202638308846556,9.867839248376246
62.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
134.py,3,3,3,0,2,79.86065655252033,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
42.py,9,10,9,0,5,69.17688599205619,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
138.py,2,2,2,0,2,82.22171014857504,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
24.py,4,4,4,0,3,75.52054972455686,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
