Path,File,Function,Complexity
Dataset/0.py,0.py,has_close_elements,0
Dataset/100.py,100.py,make_a_pile,0
Dataset/101.py,101.py,words_string,0
Dataset/104.py,104.py,unique_digits,0
Dataset/105.py,105.py,by_length,0
Dataset/106.py,106.py,f,0
Dataset/108.py,108.py,count_nums,0
Dataset/11.py,11.py,string_xor,0
Dataset/110.py,110.py,exchange,0
Dataset/111.py,111.py,histogram,0
Dataset/112.py,112.py,reverse_delete,0
Dataset/113.py,113.py,odd_count,0
Dataset/115.py,115.py,max_fill,0
Dataset/116.py,116.py,sort_array,0
Dataset/117.py,117.py,select_words,0
Dataset/118.py,118.py,get_closest_vowel,0
Dataset/119.py,119.py,match_parens,0
Dataset/120.py,120.py,maximum,0
Dataset/121.py,121.py,solution,0
Dataset/122.py,122.py,add_elements,0
Dataset/133.py,133.py,sum_squares,0
Dataset/14.py,14.py,all_prefixes,0
Dataset/142.py,142.py,sum_squares,0
Dataset/144.py,144.py,simplify,0
Dataset/145.py,145.py,order_by_points,0
Dataset/149.py,149.py,sorted_list_sum,0
Dataset/15.py,15.py,string_sequence,0
Dataset/151.py,151.py,double_the_difference,0
Dataset/152.py,152.py,compare,0
Dataset/153.py,153.py,Strongest_Extension,0
Dataset/155.py,155.py,even_odd_count,0
Dataset/157.py,157.py,right_angle_triangle,0
Dataset/158.py,158.py,find_max,0
Dataset/159.py,159.py,eat,0
Dataset/161.py,161.py,solve,0
Dataset/162.py,162.py,string_to_md5,0
Dataset/163.py,163.py,generate_integers,0
Dataset/17.py,17.py,parse_music,0
Dataset/18.py,18.py,how_many_times,0
Dataset/19.py,19.py,sort_numbers,0
Dataset/20.py,20.py,find_closest_elements,0
Dataset/22.py,22.py,filter_integers,0
Dataset/27.py,27.py,flip_case,0
Dataset/29.py,29.py,filter_by_prefix,0
Dataset/3.py,3.py,below_zero,0
Dataset/30.py,30.py,get_positive,0
Dataset/32.py,32.py,poly,0
Dataset/33.py,33.py,sort_third,0
Dataset/34.py,34.py,unique,0
Dataset/36.py,36.py,fizz_buzz,0
Dataset/37.py,37.py,sort_even,0
Dataset/38.py,38.py,decode_cyclic,0
Dataset/4.py,4.py,mean_absolute_deviation,0
Dataset/47.py,47.py,median,0
Dataset/48.py,48.py,is_palindrome,0
Dataset/49.py,49.py,modp,0
Dataset/5.py,5.py,intersperse,0
Dataset/50.py,50.py,decode_shift,0
Dataset/51.py,51.py,remove_vowels,0
Dataset/52.py,52.py,below_threshold,0
Dataset/54.py,54.py,same_chars,0
Dataset/57.py,57.py,monotonic,0
Dataset/58.py,58.py,common,0
Dataset/62.py,62.py,derivative,0
Dataset/64.py,64.py,vowels_count,0
Dataset/65.py,65.py,circular_shift,0
Dataset/66.py,66.py,digitSum,0
Dataset/70.py,70.py,strange_sort_list,0
Dataset/72.py,72.py,will_it_fly,0
Dataset/73.py,73.py,smallest_change,0
Dataset/74.py,74.py,total_match,0
Dataset/77.py,77.py,iscube,0
Dataset/78.py,78.py,hex_key,0
Dataset/84.py,84.py,solve,0
Dataset/85.py,85.py,add,0
Dataset/86.py,86.py,anti_shuffle,0
Dataset/89.py,89.py,encrypt,0
Dataset/9.py,9.py,rolling_max,0
Dataset/91.py,91.py,is_bored,0
Dataset/97.py,97.py,multiply,0
Dataset/98.py,98.py,count_upper,0
Dataset/103.py,103.py,rounded_avg,1
Dataset/109.py,109.py,move_one_ball,1
Dataset/12.py,12.py,longest,1
Dataset/134.py,134.py,check_if_last_char_is_a_letter,1
Dataset/137.py,137.py,compare_one,1
Dataset/139.py,139.py,special_factorial,1
Dataset/147.py,147.py,get_max_triples,1
Dataset/148.py,148.py,bf,1
Dataset/16.py,16.py,count_distinct_characters,1
Dataset/160.py,160.py,do_algebra,1
