File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
79.py,5,5,5,0,3,76.012549340051,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
110.py,4,4,4,0,6,74.05054264672424,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
119.py,5,5,5,0,3,73.01862506517085,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
84.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30.py,2,3,2,0,1,84.71624627594792,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
135.py,5,5,5,0,3,73.20852939104878,3,5,8,5,8,13,8,39.0,2.4,93.6,0.013,5.199999999999999
76.py,11,8,8,0,3,69.77839958079733,1,4,5,4,8,12,5,27.863137138648348,1.0,27.863137138648348,0.00928771237954945,1.5479520632582415
115.py,3,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
157.py,4,4,4,0,1,74.72305726660727,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
21.py,14,9,9,0,4,66.52866147888739,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
149.py,2,3,2,0,3,80.85194998625511,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
36.py,2,2,2,0,4,80.88620599471905,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
137.py,10,8,8,0,3,72.3400774537363,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
150.py,8,6,6,0,4,70.18688602520882,5,9,14,5,10,15,14,57.110323830864054,2.7777777777777777,158.6397884190668,0.019036774610288017,8.813321578837044
