File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,7,7,7,0,2,67.56626620925594,4,10,14,8,16,24,14,91.37651812938249,3.2,292.404858014024,0.03045883937646083,16.244714334112444
115.py,4,3,3,0,2,79.30066036278018,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
128.py,8,8,8,0,6,67.17923742492133,5,7,12,6,10,16,12,57.359400011538504,3.5714285714285716,204.85500004120897,0.01911980000384617,11.38083333562272
43.py,9,6,6,3,3,100.0,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,11,9,9,0,4,67.31561689475312,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
84.py,4,6,4,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
22.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
23.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,16,16,16,0,7,56.83615327771027,6,17,23,14,28,42,23,189.98960215439456,4.9411764705882355,938.7721518217144,0.06332986738479819,52.15400843453969
12.py,4,4,4,0,2,84.48986316429594,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
111.py,5,7,5,0,5,76.15120221847852,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
112.py,3,4,3,0,3,76.79891896611021,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
79.py,2,3,2,0,1,81.90114990916902,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
31.py,12,12,12,0,6,62.00858698708201,4,9,13,8,16,24,13,88.81055323538621,3.5555555555555554,315.7708559480398,0.029603517745128736,17.542825330446657
7.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,7,7,7,0,4,68.3551068840465,5,7,12,7,11,18,12,64.52932501298082,3.9285714285714284,253.50806255099607,0.02150977500432694,14.083781252833115
65.py,8,10,8,0,2,67.01977954007292,3,5,8,5,7,12,8,36.0,2.1,75.60000000000001,0.012,4.2
69.py,4,5,4,0,5,76.6243038077103,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
141.py,23,12,12,5,7,90.72979319119696,5,12,17,7,12,19,17,77.66179398375645,2.5,194.15448495939114,0.02588726466125215,10.78636027552173
44.py,5,5,5,0,4,75.15831043359547,2,5,7,2,5,7,7,19.651484454403228,1.0,19.651484454403228,0.00655049481813441,1.0917491363557348
107.py,16,13,12,1,4,79.0334547825154,4,9,13,6,11,17,13,62.907475208398566,2.4444444444444446,153.7738282871965,0.02096915840279952,8.542990460399805
81.py,30,30,30,0,14,50.85382836650843,2,13,15,12,24,36,15,140.64806144190666,1.8461538461538463,259.65795958505845,0.04688268714730222,14.425442199169915
103.py,6,6,6,0,2,71.9562338891291,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
28.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73.py,5,3,3,1,2,100.0,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
3.py,7,7,7,0,3,73.15124981438153,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
