File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
144.py,8,6,6,0,1,74.55429833416675,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
74.py,7,7,7,0,4,76.28570514245513,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
80.py,8,8,8,0,6,64.59945329388394,5,15,20,10,21,31,20,133.97977094150824,3.5,468.9291982952788,0.04465992364716941,26.05162212751549
49.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
85.py,2,2,2,0,4,80.77781576413629,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
11.py,5,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
103.py,5,5,5,0,2,73.68349074296657,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
131.py,9,9,9,0,4,68.62374862218172,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
148.py,12,8,8,0,3,68.6892962243129,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
118.py,7,8,7,0,5,65.74762364278007,6,10,16,8,16,24,16,96.0,4.8,460.79999999999995,0.032,25.599999999999998
149.py,4,4,4,0,3,78.1265408788172,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
112.py,4,5,4,0,3,74.68492742734401,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
111.py,6,7,5,0,4,76.28570514245513,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
105.py,13,4,13,0,4,79.32666015572441,1,3,4,2,3,5,4,10.0,0.5,5.0,0.0033333333333333335,0.2777777777777778
156.py,12,9,10,0,3,68.75825154615833,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
