File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
147.py,10,8,8,0,3,65.37538104854005,5,12,17,10,19,29,17,118.53642239625987,3.9583333333333335,469.2066719851953,0.03951214079875329,26.06703733251085
115.py,8,4,4,2,2,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
128.py,14,12,12,0,7,63.10707737431151,6,7,13,6,10,16,13,59.207035490257475,4.285714285714286,253.74443781538918,0.019735678496752493,14.096913211966065
43.py,7,7,7,0,3,73.70567794030467,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
82.py,15,10,10,3,1,92.34352105057097,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
84.py,12,9,6,4,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
60.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
22.py,12,7,6,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
23.py,8,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
40.py,7,7,7,0,3,76.42020806643173,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
12.py,6,5,5,2,2,100.0,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
111.py,11,8,7,4,6,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
112.py,3,4,3,0,3,76.79891896611021,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
79.py,4,4,3,2,1,100.0,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
31.py,29,10,9,1,5,74.91611773374838,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
7.py,10,4,3,0,3,81.03301269040966,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
102.py,18,9,8,0,4,91.41288555509969,6,11,17,10,19,29,17,118.53642239625987,5.181818181818182,614.2341887806193,0.03951214079875329,34.124121598923296
65.py,16,10,7,4,2,90.39670987704434,3,5,8,5,7,12,8,36.0,2.1,75.60000000000001,0.012,4.2
69.py,21,8,7,4,3,78.57115873545041,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
141.py,20,16,16,0,8,59.82609510690045,6,10,16,6,11,17,16,68.0,3.3,224.39999999999998,0.02266666666666667,12.466666666666665
44.py,16,7,6,0,2,83.38355047641404,4,5,9,4,8,12,9,38.03910001730775,3.2,121.72512005538482,0.012679700005769252,6.762506669743601
107.py,11,11,11,0,4,63.56972415702848,4,10,14,7,13,20,14,76.14709844115208,2.6,197.98245594699543,0.025382366147050694,10.999025330388635
81.py,30,30,30,0,14,50.85382836650843,2,13,15,12,24,36,15,140.64806144190666,1.8461538461538463,259.65795958505845,0.04688268714730222,14.425442199169915
103.py,6,6,6,0,2,70.36669288373412,5,6,11,6,11,17,11,58.81033751683406,4.583333333333333,269.54738028548945,0.019603445838944685,14.97485446030497
28.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73.py,13,11,11,1,3,81.41833832200007,4,7,11,6,12,18,11,62.26976913547136,3.4285714285714284,213.49635132161606,0.020756589711823786,11.860908406756447
3.py,7,7,7,0,3,73.15124981438153,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
59.py,27,14,13,5,5,87.88625742583,7,8,15,9,17,26,15,101.57915548582149,7.4375,755.4949689257974,0.033859718495273826,41.971942718099854
136.py,12,8,8,0,8,70.01254608243102,3,3,6,3,5,8,6,20.67970000576925,2.5,51.69925001442312,0.006893233335256416,2.87218055635684
140.py,4,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
146.py,8,8,8,0,5,66.86788316100727,5,10,15,6,11,17,15,66.41714012534482,2.75,182.64713534469826,0.02213904670844827,10.147063074705459
57.py,18,9,8,0,4,91.98794929275815,4,10,14,5,10,15,14,57.110323830864054,2.0,114.22064766172811,0.019036774610288017,6.345591536762672
94.py,14,13,13,0,5,62.81404137758875,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
34.py,6,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
123.py,10,10,10,0,5,63.70525388614926,6,9,15,8,16,24,15,93.76537429460444,5.333333333333333,500.08199623789034,0.03125512476486815,27.78233312432724
11.py,5,5,5,0,3,79.60783978179059,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
85.py,8,3,2,0,4,83.06708241259491,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
64.py,10,10,10,0,4,68.07839560482668,2,4,6,3,6,9,6,23.264662506490403,1.5,34.89699375973561,0.007754887502163467,1.938721875540867
91.py,7,7,7,0,4,76.28570514245513,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
8.py,20,10,9,2,3,95.0882035001624,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
